"Saccharomyces cerevisiae","Rhodosporidium toruloides","CS","EL","Trees","phylome","ensembl","orthomcl","treefam","eggnog","hogenom"
"A0A0C5MQ15","M7WUV3","1.000","1","2","1.00/2","","","","",""
"P54007","M7X982","1.000","1","4","1.00/4","","","","",""
"A0A0D4UM64","M7XZ96","0.667","1","3","1.00/2","","","","",""
"F2Z6M8","M7XF42","0.571","1","7","0.67/6","","","","",""
"A0A0C5FPD5","M7XI87","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y8S2","M7WVH9","1.000","1","2","1.00/2","","","","",""
"A0A0D4FP37","M7XYI4","1.000","2","4","1.00/2","1.00/2","","","",""
"A0A0D4YK16","M7WTW7","1.000","2","13","1.00/12","","","","",""
"N1P7H6","M7XDC5","1.000","2","3","1.00/2","","","","",""
"N1P444","M7WZA5","0.667","1","3","1.00/2","","","","",""
"A0A0C5LSB8","M7X2A3","1.000","1","2","1.00/2","","","","",""
"A0A0D4ZXF8","M7WSU8","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2A8","M7WQC9","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q260","M7WJN6","0.600","2","5","0.50/4","","","","",""
"A0A0D3Z746","M7WGI6","1.000","2","3","1.00/2","","","","",""
"A0A0D4UMG8","M7XAY4","1.000","2","3","1.00/2","","","","",""
"N1P7U6","M7XTB8","1.000","2","3","1.00/2","","","","",""
"A0A0C5N934","M7XUM2","1.000","1","2","1.00/2","","","","",""
"A0A0D4Y217","M7WV92","1.000","2","3","1.00/2","","","","",""
"A0A0D4YW86","M7X4D7","0.500","1","2","0.50/2","","","","",""
"A0A0D4AV11","M7X4G5","1.000","2","5","1.00/4","","","","",""
"A0A0D4AUZ9","M7XJP4","1.000","2","3","1.00/2","","","","",""
"A0A0D4A6T4","M7XG94","1.000","1","1","","","","","",""
"A0A0D4GUM2","M7XIT7","1.000","2","3","1.00/2","","","","",""
"A0A0D4PK90","M7X5P9","1.000","2","3","1.00/2","","","","",""
"A0A0C5Z1P5","M7XE10","1.000","1","2","1.00/2","","","","",""
"N1NXX4","M7WWI1","1.000","1","1","","","","","",""
"A0A0C5YVI8","M7XRM8","1.000","2","3","1.00/2","","","","",""
"A0A0C5Z6K9","M7WQM6","0.667","1","3","1.00/2","","","","",""
"A0A0D4W177","M7XWJ1","0.920","2","25","0.92/24","","","","",""
"A0A0D4JZA6","M7WJN6","0.600","2","5","0.50/4","","","","",""
"A0A0D4I219","A0A061BGP8","1.000","1","1","","","","","",""
"A0A0D4SQ45","M7XJH1","1.000","2","5","1.00/4","","","","",""
"A0A0C5LSQ2","A0A061B4J3","1.000","2","3","1.00/2","","","","",""
"N1P1V4","M7WYI5","1.000","1","1","","","","","",""
"A0A0D4H7V9","M7WUQ8","1.000","1","1","","","","","",""
"A0A0D4YJQ6","M7XC90","1.000","1","1","","","","","",""
"N1NZD7","M7XHM9","1.000","1","2","1.00/2","","","","",""
"A0A0D4QTI1","M7X4A4","0.667","1","3","1.00/2","","","","",""
"A0A0D4Q3F1","M7WU54","1.000","1","1","","","","","",""
"A0A0D3UJN1","M7WN16","1.000","2","3","1.00/2","","","","",""
"A0A0C5FJ62","M7XFR0","1.000","2","5","1.00/4","","","","",""
"A0A0D4UN03","A0A061BHK0","0.667","2","3","0.50/2","","","","",""
"Q02775","M7WG30","1.000","1","1","","","","","",""
"A0A0C6CQC2","M7X9F0","0.714","2","7","0.67/6","","","","",""
"A0A0D4AV74","M7XDT6","1.000","1","1","","","","","",""
"A0A0D4Q7A7","M7WZ44","0.667","1","3","1.00/2","","","","",""
"A0A0D4Y1Y0","M7WT78","1.000","1","1","","","","","",""
"A0A0D4GV84","M7XQ03","0.800","2","5","0.75/4","","","","",""
"A0A0D4ZF88","M7XFA9","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q272","M7X376","1.000","1","1","","","","","",""
"N1P3P9","M7X7R8","1.000","1","4","1.00/4","","","","",""
"M!03909825","M7WQ24","0.800","1","5","1.00/4","","","","",""
"A0A0D4K6N8","M7XNH2","1.000","1","1","","","","","",""
"A0A0D4Q399","M7X1T2","1.000","2","5","1.00/4","","","","",""
"G4XSG8","A0A061BBM7","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2K8","M7WND2","1.000","1","1","","","","","",""
"A0A0C5LSY0","M7WPZ4","0.667","1","3","1.00/2","","","","",""
"A0A0C6ABW5","M7X939","1.000","2","3","1.00/2","","","","",""
"A0A0D4GSU0","M7WGR5","0.667","1","3","1.00/2","","","","",""
"A0A0D4YK28","M7XDG9","0.600","2","5","0.50/4","","","","",""
"A0A0C5NYD2","M7WUV0","0.667","1","3","1.00/2","","","","",""
"A0A0C5LQY0","M7WJT2","1.000","1","1","","","","","",""
"A0A0D4UQ39","M7X6X3","0.778","2","9","0.75/8","","","","",""
"P53691","M7WKW0","0.750","1","12","0.75/12","","","","",""
"A0A0D4AUE3","M7XVK5","1.000","2","13","1.00/12","","","","",""
"P40501","M7WLA9","1.000","2","3","1.00/2","","","","",""
"N1P9Y8","M7XYB4","1.000","2","3","1.00/2","","","","",""
"A0A0D3XYE0","M7WVB4","1.000","2","17","1.00/16","","","","",""
"A0A0D3UKP8","M7X1L0","0.667","1","3","1.00/2","","","","",""
"A0A0D4Q330","M7X3Q4","1.000","1","1","","","","","",""
"A0A0C5P8N1","M7XRC2","1.000","2","3","1.00/2","","","","",""
"A0A0D4W0Q7","M7XHF4","1.000","1","1","","","","","",""
"A0A0C5NTP6","M7XFG0","1.000","2","3","1.00/2","","","","",""
"A0A0C6CD91","M7XX08","1.000","2","3","1.00/2","","","","",""
"A0A0D4PEY6","M7X220","0.600","2","5","0.50/4","","","","",""
"A0A0D4GU24","M7WGQ5","1.000","1","1","","","","","",""
"A0A0D4WA09","M7WPX8","1.000","2","3","1.00/2","","","","",""
"N1P8F7","M7WMS6","1.000","2","3","1.00/2","","","","",""
"A0A0D4PK46","M7WP88","1.000","1","1","","","","","",""
"A0A0D4Q242","M7WVA4","1.000","2","15","1.00/14","","","","",""
"A0A0D4SU76","M7WX00","1.000","2","3","1.00/2","","","","",""
"A0A0D4AIY6","M7WZ10","1.000","2","3","1.00/2","","","","",""
"A0A0D3UTV1","M7WV82","1.000","1","1","","","","","",""
"P38875","M7X8Q7","1.000","2","3","1.00/2","","","","",""
"A0A0C6CDV3","M7WT91","0.667","1","3","1.00/2","","","","",""
"E7Q193","M7XM99","1.000","2","3","1.00/2","","","","",""
"A0A024XIG7","M7WL95","1.000","2","3","1.00/2","","","","",""
"A0A0D4GU40","M7WUP8","1.000","2","5","1.00/4","","","","",""
"A0A0C6AFX4","M7WUD3","0.667","1","3","1.00/2","","","","",""
"A0A0C6AVM2","M7XE14","1.000","2","3","1.00/2","","","","",""
"N1NXC6","M7WMI6","1.000","1","2","1.00/2","","","","",""
"A0A0D3UJI7","M7X2Q6","1.000","2","3","1.00/2","","","","",""
"A0A0C5YL26","M7XVR7","1.000","2","3","1.00/2","","","","",""
"A0A0D4AT73","M7XKM6","1.000","1","1","","","","","",""
"A0A0C5YIL3","M7WMR9","0.667","1","3","1.00/2","","","","",""
"N1P9Z1","M7XLI2","1.000","1","1","","","","","",""
"A0A0D4UAU0","M7X2L5","0.667","1","3","1.00/2","","","","",""
"A0A0D3XL50","M7WGX4","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1K0","M7XZT2","1.000","2","3","1.00/2","","","","",""
"A0A0D4UPQ9","M7X201","1.000","2","3","1.00/2","","","","",""
"A0A0D4AUP7","M7WIG9","0.600","2","5","0.50/4","","","","",""
"A0A0D4XPU6","M7XFR9","1.000","2","5","1.00/4","","","","",""
"A0A0D4UCV5","M7WF55","0.667","1","3","1.00/2","","","","",""
"A0A0C6CBX3","M7XX30","0.667","1","3","1.00/2","","","","",""
"A0A0C6AS29","M7X1P1","1.000","1","2","1.00/2","","","","",""
"A0A0D3UM85","M7WKC4","0.667","1","3","1.00/2","","","","",""
"A0A0D4Q686","M7X652","1.000","1","1","","","","","",""
"A0A0C5LTG2","M7XWH8","0.800","1","5","1.00/4","","","","",""
"A0A0D4GSN3","M7XTA7","1.000","2","3","1.00/2","","","","",""
"E7Q225","M7X0X5","0.667","1","3","1.00/2","","","","",""
"N1P2G2","M7X2W8","1.000","1","1","","","","","",""
"A0A0C5NDD6","M!04335367","1.000","2","4","1.00/2","1.00/2","","","",""
"A0A0D4GTR6","M7X7I8","1.000","1","1","","","","","",""
"A0A0D4GDJ2","M7XQB5","0.800","1","5","1.00/4","","","","",""
"A0A0C5P6V9","M7X5R5","1.000","2","3","1.00/2","","","","",""
"A0A0D4EHQ3","M7XQM1","1.000","1","2","1.00/2","","","","",""
"A0A0D3S1U9","M7X4L7","0.667","1","3","1.00/2","","","","",""
"A0A0C5PEK5","M7XD36","1.000","2","3","1.00/2","","","","",""
"N1P331","M7WQ78","1.000","1","1","","","","","",""
"A0A0C5Z1B4","M7WJ93","1.000","1","1","","","","","",""
"A0A0C6AKJ0","M7WCH0","0.667","1","24","0.67/24","","","","",""
"A0A0D3XH22","M7XFH5","1.000","1","1","","","","","",""
"A0A0D4A6M0","M7WRG0","1.000","1","1","","","","","",""
"A0A0D4LAY0","M7XU45","1.000","2","4","1.00/2","1.00/2","","","",""
"N1NXL9","M7XJ93","1.000","1","2","1.00/2","","","","",""
"A0A0D4Y207","M7XIA4","1.000","1","2","1.00/2","","","","",""
"A0A0D4RJZ0","M7WXT8","1.000","2","3","1.00/2","","","","",""
"A0A0D4UN04","M7XGA2","1.000","2","3","1.00/2","","","","",""
"A0A0C6CD96","M7X7N8","0.600","2","5","0.50/4","","","","",""
"A0A0C6D200","M7XET2","1.000","2","3","1.00/2","","","","",""
"P11972","M7XWW5","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q3E2","M7WWH3","1.000","1","1","","","","","",""
"A0A0D3UKG8","M7XCD9","1.000","1","2","1.00/2","","","","",""
"A0A0D4AUY2","M7XV18","0.800","1","15","0.86/14","","","","",""
"N1P9E8","M7WD04","1.000","2","5","1.00/4","","","","",""
"A0A0D4NVD4","M7WVH9","1.000","1","2","1.00/2","","","","",""
"A0A0D3Y0R4","M7WCI4","1.000","1","1","","","","","",""
"M!03907599","M7WKL7","1.000","2","17","1.00/16","","","","",""
"A0A0D4UN87","M7WMG1","1.000","2","3","1.00/2","","","","",""
"A0A0D4AU95","M7XI31","1.000","1","1","","","","","",""
"A0A0D3Y0I0","M7XLG3","1.000","2","3","1.00/2","","","","",""
"A0A0D4B2R2","M7X8A4","1.000","1","4","1.00/4","","","","",""
"A0A0D4Y2D8","M7WR76","1.000","2","3","1.00/2","","","","",""
"A0A0D4UN48","M7XFA7","1.000","1","1","","","","","",""
"A0A0D4GSU1","M7WJF8","0.867","1","15","0.93/14","","","","",""
"A0A0D4NAM6","M7WVL1","1.000","2","3","1.00/2","","","","",""
"A0A0D4UND4","M7X0J3","1.000","2","3","1.00/2","","","","",""
"A0A0D4GC33","M7X9K0","1.000","2","5","1.00/4","","","","",""
"A0A0D4PZC5","M7X6N8","1.000","2","3","1.00/2","","","","",""
"A0A0C6AS44","M7XKW6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q3K8","M7WXH3","0.500","1","4","0.50/4","","","","",""
"A0A0D4N0V5","M7XBB7","1.000","1","1","","","","","",""
"A0A0D4PSH5","M7WYV1","1.000","1","1","","","","","",""
"A0A0D4EGZ8","M7X568","1.000","1","4","1.00/4","","","","",""
"A0A0D4GUM7","M7XD73","1.000","2","3","1.00/2","","","","",""
"A0A0D4TX29","M7XVM8","1.000","1","1","","","","","",""
"A0A0D4KNB3","M7XFN2","0.667","1","3","1.00/2","","","","",""
"A0A0D4UPQ3","M7WUM6","1.000","1","2","1.00/2","","","","",""
"A0A0D3UMB8","M7X1Y3","1.000","2","3","1.00/2","","","","",""
"A0A0D3XY48","M7XNU1","1.000","2","3","1.00/2","","","","",""
"G2WJW1","M7WEZ1","0.667","1","3","1.00/2","","","","",""
"A0A0C6ACM8","M7WWQ2","1.000","1","2","1.00/2","","","","",""
"A0A0C5P6H6","M7X643","0.667","1","3","1.00/2","","","","",""
"A0A0D4JXJ6","M7XLG2","0.636","2","11","0.60/10","","","","",""
"A0A0D4ZXZ4","M7WWI8","1.000","2","3","1.00/2","","","","",""
"A0A0D4I3T6","M7XK35","1.000","1","1","","","","","",""
"A0A0D4I205","M7WT12","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2A6","M7WQH1","1.000","1","1","","","","","",""
"P25607","M7XF71","1.000","1","1","","","","","",""
"A0A0C5M434","M7XYF1","1.000","1","2","1.00/2","","","","",""
"A0A0D4GTW0","M7X6E8","1.000","2","5","1.00/4","","","","",""
"G2WGW5","G1FK51","1.000","1","2","1.00/2","","","","",""
"A0A0C6CQL2","M7X296","1.000","1","12","1.00/12","","","","",""
"E7Q937","A0A061BDR5","0.667","2","3","0.50/2","","","","",""
"A0A0C5RM56","M7WWW0","0.667","1","3","1.00/2","","","","",""
"A0A0D4W1T7","M7WZ72","1.000","1","6","1.00/6","","","","",""
"A0A0D4Y1R8","M7WPC7","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUI9","M7WKH8","1.000","2","3","1.00/2","","","","",""
"A0A0D4KN65","M7WW26","0.857","1","7","1.00/6","","","","",""
"A0A0D3UM38","M7WXN3","1.000","2","5","1.00/4","","","","",""
"P48837","M7WNJ0","1.000","1","1","","","","","",""
"A0A0D4KGI5","M7XFN2","0.667","1","3","1.00/2","","","","",""
"A0A0D3S126","M7WNN9","1.000","2","5","1.00/4","","","","",""
"A0A0D3S1D5","M7X005","1.000","2","3","1.00/2","","","","",""
"A0A0D4NWV0","M7WDE2","1.000","2","3","1.00/2","","","","",""
"A0A0C6D8E9","M7XMJ5","1.000","1","2","1.00/2","","","","",""
"A0A0D4WME9","M7WWG9","1.000","1","2","1.00/2","","","","",""
"A0A0D3ZG61","M7WW85","0.800","1","5","1.00/4","","","","",""
"A0A0D3XY82","M7X591","1.000","2","7","1.00/6","","","","",""
"A0A0D4FEA8","M7WTH5","1.000","2","3","1.00/2","","","","",""
"A0A0C6D7W7","M7XE53","1.000","2","3","1.00/2","","","","",""
"A0A0C5QDY2","M7XHT5","1.000","2","3","1.00/2","","","","",""
"N1P3W8","M7WSG3","1.000","2","3","1.00/2","","","","",""
"A0A0D4AUP8","M7XPQ0","1.000","2","3","1.00/2","","","","",""
"A0A0D3XRG3","M7XI04","0.667","1","3","1.00/2","","","","",""
"A0A0C6CR88","M7XM81","1.000","2","3","1.00/2","","","","",""
"A0A0D3TSL8","M7XJ14","1.000","1","2","1.00/2","","","","",""
"A0A0D4I1P3","M7WUZ1","1.000","2","9","1.00/8","","","","",""
"A0A0D4KQL3","M7WRZ8","1.000","2","3","1.00/2","","","","",""
"A0A0D4JXK5","M7XB86","1.000","2","3","1.00/2","","","","",""
"A0A0D4FNU2","M7WMK9","0.667","2","9","0.62/8","","","","",""
"A0A0D4FMQ8","M7WFP5","0.600","1","5","0.75/4","","","","",""
"A0A0C5LTR0","M7WPC9","0.500","1","2","0.50/2","","","","",""
"A0A0C5NKC8","M7WLV7","1.000","1","8","1.00/8","","","","",""
"A0A0D4GTF3","M7XIZ1","1.000","2","3","1.00/2","","","","",""
"A0A0C6AKG0","M7WXP2","1.000","1","1","","","","","",""
"A0A0D3XXM0","M7WXY7","0.929","1","14","0.93/14","","","","",""
"A0A0D4KPN8","A0A061AUV7","1.000","2","3","1.00/2","","","","",""
"A0A0D4KR64","M7X6P8","1.000","2","3","1.00/2","","","","",""
"A0A0D3XYE6","M7WWU7","1.000","2","3","1.00/2","","","","",""
"A0A0D4GSI1","M7WHU3","1.000","2","3","1.00/2","","","","",""
"A0A0D4RXI1","M7WKF5","1.000","2","3","1.00/2","","","","",""
"N1PAH0","M7WPJ6","0.800","1","10","0.80/10","","","","",""
"A0A0D4UPK9","M7XFT8","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1N6","M7WJW3","1.000","2","5","1.00/4","","","","",""
"A0A0C5LHV8","M7WSR5","1.000","1","1","","","","","",""
"P25606","M7XF71","1.000","1","1","","","","","",""
"A0A0D4Y1K9","M7XEU6","1.000","2","3","1.00/2","","","","",""
"E7Q6D1","M7X0N1","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2N0","M7XPB2","1.000","2","5","1.00/4","","","","",""
"N1NXB5","M7XJB2","0.667","1","3","1.00/2","","","","",""
"A0A0C6ABT3","M7WKI7","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y1W7","M7XKK7","1.000","2","3","1.00/2","","","","",""
"A0A0D4JDR7","M7X4A4","0.667","1","3","1.00/2","","","","",""
"A0A0C5YCK1","M7X9P7","1.000","1","1","","","","","",""
"M!03908366","M7XH53","1.000","1","1","","","","","",""
"A0A0D4QWA9","M7XE34","1.000","2","3","1.00/2","","","","",""
"N1NWX5","M7XSV9","1.000","2","3","1.00/2","","","","",""
"A0A0C6CQN2","M7XRR1","0.800","2","5","0.75/4","","","","",""
"P33753","M7XU04","1.000","2","3","1.00/2","","","","",""
"A0A0C6D7U4","M7X7T4","1.000","2","3","1.00/2","","","","",""
"A0A0D4JX78","M7WUZ4","1.000","2","5","1.00/4","","","","",""
"A0A0D4NTQ1","M7XSS0","1.000","2","7","1.00/6","","","","",""
"A0A0C6AK93","M7WVI3","1.000","2","17","1.00/16","","","","",""
"A0A0D3ZQT7","M7WXD9","1.000","2","3","1.00/2","","","","",""
"A0A0D4JXT0","M7X338","1.000","1","2","1.00/2","","","","",""
"P53953","M7WW82","1.000","2","5","1.00/4","","","","",""
"A0A0C5QMQ6","M7WYD6","1.000","1","1","","","","","",""
"A0A0D3WMV0","M7XMS6","0.667","1","3","1.00/2","","","","",""
"A0A0D4UNH6","M!04335346","0.667","1","3","1.00/2","","","","",""
"P40885","M7WW85","0.909","1","11","1.00/10","","","","",""
"A0A0D4GTX5","M7WSU5","1.000","2","3","1.00/2","","","","",""
"A0A0D4TTF4","M7WRL0","1.000","1","2","1.00/2","","","","",""
"A0A0D3SKH7","M7WVG7","1.000","1","1","","","","","",""
"A0A0D4EG16","M7X3H1","1.000","2","5","1.00/4","","","","",""
"A0A0D4UPE5","M7X412","1.000","2","3","1.00/2","","","","",""
"P34220","M7WPE7","0.667","1","3","1.00/2","","","","",""
"A0A0D4GFH0","M7WUI5","1.000","2","3","1.00/2","","","","",""
"A0A0D4N0D6","M7X1E3","1.000","2","3","1.00/2","","","","",""
"A0A0D4I3P3","M7WPB7","1.000","2","3","1.00/2","","","","",""
"A0A0D4FEJ2","M7X8Z1","1.000","2","7","1.00/6","","","","",""
"A0A0D4Q794","M7WD18","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXU7","M7X611","1.000","2","3","1.00/2","","","","",""
"A0A0D4AVJ6","M7X4J7","0.600","2","5","0.50/4","","","","",""
"A0A0C5MML2","M7WW13","1.000","1","2","1.00/2","","","","",""
"P53078","M7XRX5","1.000","2","3","1.00/2","","","","",""
"A0A0C5ZXI1","M7X5Y3","1.000","1","1","","","","","",""
"A0A0D3TPR7","M7WQJ9","1.000","2","3","1.00/2","","","","",""
"P25648","M7X2I5","1.000","1","1","","","","","",""
"A0A0D4B4S2","M7WMR9","0.667","1","3","1.00/2","","","","",""
"A0A0D4SFG5","M7WXU4","1.000","2","4","1.00/2","1.00/2","","","",""
"N1P7H3","M7WRR7","1.000","1","4","1.00/4","","","","",""
"A0A0D4N179","M7XTV4","1.000","1","1","","","","","",""
"A0A0D4Q233","M7WXK9","0.667","1","3","1.00/2","","","","",""
"A0A0D3TH47","M7WJ92","1.000","1","1","","","","","",""
"A0A0D4H776","M7WY37","0.800","2","5","0.75/4","","","","",""
"A0A0D4AFP2","M7WTA9","1.000","2","5","1.00/4","","","","",""
"A0A0D4FXG8","M7XW17","1.000","2","3","1.00/2","","","","",""
"N1PAS0","M7XMY5","1.000","1","1","","","","","",""
"A0A0C5NTE8","M7XTG0","1.000","1","1","","","","","",""
"A0A0D3SXP4","M7X2U1","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1F8","M7XZN0","1.000","2","3","1.00/2","","","","",""
"A0A0C5QMT9","M7WNR0","1.000","2","3","1.00/2","","","","",""
"P11154","M7WS17","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y1W0","M7XEN6","1.000","1","1","","","","","",""
"N1NZW7","M7Y0T6","1.000","2","3","1.00/2","","","","",""
"A0A0D4W8K9","M7WZC3","1.000","2","3","1.00/2","","","","",""
"M!03906162","M7XQF5","0.667","1","3","1.00/2","","","","",""
"A0A0D4UNJ8","M7WKZ4","0.667","1","3","1.00/2","","","","",""
"N1NX37","M7WKL6","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXM3","M7WXG9","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPY8","M7X5W8","1.000","1","1","","","","","",""
"A0A0D4REK5","M7XG27","1.000","2","3","1.00/2","","","","",""
"A0A0C5ZAH1","M7X558","1.000","1","1","","","","","",""
"A0A0D4FF74","M7WVZ3","1.000","2","3","1.00/2","","","","",""
"N1P2D3","M7X1Z1","1.000","1","1","","","","","",""
"A0A0D3URI3","M7WXH9","0.667","1","3","1.00/2","","","","",""
"N1P5K3","M7XHQ6","0.667","1","3","1.00/2","","","","",""
"A0A0D4RD62","M7X8Y2","0.667","1","3","1.00/2","","","","",""
"A0A0D4I1S1","M7XEB5","1.000","1","1","","","","","",""
"A0A0D4GTY3","M7XYR8","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXF3","M7XH21","1.000","2","3","1.00/2","","","","",""
"A0A0C5Y1D0","M7X0Y5","1.000","1","1","","","","","",""
"P43591","M7WYZ1","0.667","1","3","1.00/2","","","","",""
"A0A0D4KPR0","M7XRX5","1.000","2","3","1.00/2","","","","",""
"A0A0D4LSB9","M7XN95","1.000","2","7","1.00/6","","","","",""
"A0A024XJ09","M7WXB4","1.000","1","1","","","","","",""
"A0A0D4XNP6","M7WQN6","0.600","2","5","0.50/4","","","","",""
"A0A0D3X455","M7WPW0","1.000","2","3","1.00/2","","","","",""
"M!03908833","M7X574","0.545","2","11","0.50/10","","","","",""
"A0A0C5LHA9","M7X9H8","1.000","2","3","1.00/2","","","","",""
"A0A0D3U103","M7XNM9","1.000","2","3","1.00/2","","","","",""
"A0A0D4FVB4","M7X7R6","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXG9","M7WWF7","1.000","2","5","1.00/4","","","","",""
"A0A0C5QMX4","M7XT88","1.000","1","2","1.00/2","","","","",""
"A0A0D3UKD7","M7WQ25","1.000","2","3","1.00/2","","","","",""
"A0A0C5FFC8","M7XD73","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1N9","M7XE81","0.960","1","25","1.00/24","","","","",""
"A0A0D4GSQ8","M7X2C5","0.929","1","14","0.93/14","","","","",""
"A0A0D4NQ09","M7WNE8","1.000","1","1","","","","","",""
"A0A0D4GSJ9","M7WQJ0","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXS6","M7XUA0","0.800","2","5","0.75/4","","","","",""
"A0A0C5Z1M4","M7WNU2","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUC7","A0A061B190","1.000","2","5","1.00/4","","","","",""
"A0A0D3ULS2","M7XP28","1.000","2","3","1.00/2","","","","",""
"A0A0C5LTB8","M7WPC2","1.000","2","21","1.00/20","","","","",""
"A0A0D4GT07","M7X2L7","1.000","2","3","1.00/2","","","","",""
"A0A0D4N0R8","M7XPS1","1.000","1","1","","","","","",""
"A0A0D4FDK2","M7WL54","1.000","1","2","1.00/2","","","","",""
"A0A0C5ZA42","M7WWA6","1.000","1","1","","","","","",""
"E7Q197","M7WRN5","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q326","M!04332820","1.000","1","2","1.00/2","","","","",""
"A0A0C5YVG7","M7Y0L0","1.000","2","3","1.00/2","","","","",""
"A0A0D4UNK3","M7XAJ6","0.917","1","12","0.92/12","","","","",""
"A0A0D4XP11","M7X9C2","0.750","1","4","0.75/4","","","","",""
"A0A0C5Z693","M7X4A9","1.000","2","19","1.00/18","","","","",""
"A0A0D4Y3L6","M7X4Q7","1.000","1","1","","","","","",""
"A0A0C5ZZH7","M7XR30","1.000","1","10","1.00/10","","","","",""
"A0A0D4GVH8","M7WW42","1.000","2","9","1.00/8","","","","",""
"A0A0D3ULX4","M7XJS2","1.000","1","1","","","","","",""
"A0A0D3ZS17","M7WL03","1.000","2","7","1.00/6","","","","",""
"A0A0D4Y2A7","M7WV31","1.000","2","29","1.00/28","","","","",""
"A0A0D4GUT5","M7X471","1.000","2","3","1.00/2","","","","",""
"A0A0D4KNQ7","M7WZT2","1.000","1","1","","","","","",""
"A0A0D3X5T8","M7WVY9","1.000","1","1","","","","","",""
"A0A0D4FX94","M7XM95","1.000","2","3","1.00/2","","","","",""
"A0A0D4K7M4","M7XH05","1.000","2","5","1.00/4","","","","",""
"A0A0D4GSX8","M7X055","0.667","1","3","1.00/2","","","","",""
"A0A0D4H697","M7WHG4","1.000","1","2","1.00/2","","","","",""
"A0A0D4GW21","M7X2B5","1.000","2","3","1.00/2","","","","",""
"A0A0C6CEB9","A0A061AVR2","1.000","2","3","1.00/2","","","","",""
"A0A0D4N3W5","M7WVT6","1.000","2","3","1.00/2","","","","",""
"N1NXC7","M7X860","1.000","2","15","1.00/14","","","","",""
"A0A0D4XN48","M7XSB8","1.000","1","2","1.00/2","","","","",""
"A0A0C6CWB9","M7XX56","0.667","1","3","1.00/2","","","","",""
